0	0	0.998334	0.00166583	
0.1	0.0998334	0.988359	0.0116993	
0.2	0.198669	0.968509	0.0321317	
0.3	0.29552	0.938981	0.0638714	
0.4	0.389418	0.900072	0.108492	
0.5	0.479426	0.852169	0.168452	
0.6	0.564642	0.795752	0.247472	
0.7	0.644218	0.731384	0.351204	
0.8	0.717356	0.659708	0.488429	
0.9	0.783327	0.581441	0.673347	
1	0.841471	0.497364	0.930287	
1.1	0.891207	0.408317	1.30443	
1.2	0.932039	0.315191	1.88987	
1.3	0.963558	0.218915	2.91996	
1.4	0.98545	0.120453	5.17481	
1.5	0.997495	0.0207862	13.843	
1.6	0.999574	-0.0790879	-36.9557	
1.7	0.991665	-0.178172	-9.14414	
1.8	0.973848	-0.275475	-5.61384	
1.9	0.9463	-0.370027	-4.23777	
2	0.909297	-0.460881	-3.51049	
2.1	0.863209	-0.54713	-3.06456	
2.2	0.808496	-0.627912	-2.7662	
2.3	0.745705	-0.70242	-2.55513	
2.4	0.675463	-0.76991	-2.40022	
2.5	0.598472	-0.829708	-2.28387	
2.6	0.515501	-0.881215	-2.1954	
2.7	0.42738	-0.923917	-2.12806	
2.8	0.334988	-0.957388	-2.07742	
2.9	0.239249	-0.981293	-2.04055	
3	0.14112	-0.995393	-2.01556	
3.1	0.0415807	-0.999548	-2.00128	
3.2	-0.0583741	-0.993716	-1.99712	
3.3	-0.157746	-0.977954	-2.00303	
3.4	-0.255541	-0.952421	-2.01947	
3.5	-0.350783	-0.917372	-2.04748	
3.6	-0.44252	-0.873157	-2.08881	
3.7	-0.529836	-0.820218	-2.14623	
3.8	-0.611858	-0.759083	-2.22396	
3.9	-0.687766	-0.690363	-2.32854	
4	-0.756802	-0.614746	-2.47038	
4.1	-0.818277	-0.532987	-2.66688	
4.2	-0.871576	-0.445902	-2.94925	
4.3	-0.916166	-0.354361	-3.37915	
4.4	-0.951602	-0.25928	-4.09745	
4.5	-0.97753	-0.161609	-5.51059	
4.6	-0.993691	-0.0623225	-9.47212	
4.7	-0.999923	0.0375865	-77.685	
4.8	-0.996165	0.13712	9.8616	
4.9	-0.982453	0.235283	4.10009	
5	-0.958924	0.331096	2.3581	
5.1	-0.925815	0.4236	1.52496	
5.2	-0.883455	0.511872	1.04186	
5.3	-0.832267	0.59503	0.7305	
5.4	-0.772764	0.672242	0.516405	
5.5	-0.70554	0.742737	0.363023	
5.6	-0.631267	0.805811	0.250384	
5.7	-0.550686	0.860834	0.166724	
5.8	-0.464602	0.907255	0.104735	
5.9	-0.373877	0.944612	0.0597193	
6	-0.279415	0.97253	0.0286096	
6.1	-0.182163	0.990731	0.00942671	
